,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
291,W,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,Good
292,W,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,Bad
293,W,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,Bad
294,W,7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,Bad
295,W,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,Bad
296,W,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,Bad
297,R,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,Good
298,W,7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,Bad
299,W,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,Bad
300,W,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,Bad
301,W,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,Bad
302,W,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,Bad
303,W,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,Bad
304,W,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,Good
305,W,6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,Good
306,R,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,Bad
307,R,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,Good
308,W,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,Bad
309,W,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,Bad
310,W,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,Good
311,W,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,Good
312,W,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,Bad
313,W,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,Good
314,W,7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,Bad
315,W,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,Bad
316,W,7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,Bad
317,W,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,Good
318,W,6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,Bad
319,W,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,Good
320,R,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,Bad
321,R,8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,Bad
322,R,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,Good
323,W,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333333,Bad
324,W,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,Good
325,W,6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,Bad
326,W,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,Good
327,W,7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,Bad
328,W,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,Good
329,W,6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,Bad
330,W,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,Good
331,W,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,Bad
332,W,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,Bad
333,W,6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,Bad
334,W,6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,Good
335,W,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,Bad
336,R,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,Bad
337,R,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,Bad
338,W,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,Good
339,W,6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,Bad
340,R,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,Good
341,W,6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,Bad
342,R,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,Bad
343,R,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,Bad
344,W,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,Good
345,W,6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,Good
346,W,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,Good
347,R,8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,Bad
348,W,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,Bad
349,W,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,Bad
350,W,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,Bad
351,W,7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,Good
352,W,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,Bad
353,W,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,Good
354,W,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,Good
355,W,8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,Good
356,W,6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,Bad
357,W,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,Bad
358,W,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,Bad
359,R,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,Bad
360,W,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,Good
361,R,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,Good
362,W,6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,Bad
363,W,8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,Good
364,W,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,Bad
365,W,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,Good
366,W,6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,Good
367,W,6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,Good
368,W,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,Good
369,W,6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,Bad
370,W,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,Bad
371,W,4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,Bad
372,W,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,Bad
373,W,6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,Bad
374,R,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,Good
375,R,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,Bad
376,W,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,Bad
377,W,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,Good
378,R,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,Good
379,W,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,Bad
380,W,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,Bad
381,W,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,Bad
382,W,7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,Bad
383,R,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,Bad
384,R,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,Bad
385,W,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,Bad
386,R,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,Bad
387,R,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,Good
388,W,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,Good
389,W,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,Bad
390,W,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,Bad
391,W,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,Bad
392,R,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,Bad
393,W,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,Good
394,W,6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,Bad
395,W,7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,Good
396,W,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,Good
397,W,8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,Bad
398,W,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,Good
399,W,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,Bad
400,W,8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,Good
401,W,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,Good
402,R,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,Good
403,W,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,Good
404,W,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,Good
405,W,7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,Bad
406,W,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,Good
407,W,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,Good
408,R,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,Good
409,W,6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,Good
410,W,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,Bad
411,R,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,Bad
412,W,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,Good
413,W,7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,Good
414,R,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,Bad
415,W,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,Bad
416,W,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,Good
417,W,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,Good
418,W,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,Bad
419,W,6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,Bad
420,W,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,Bad
421,R,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,Bad
422,W,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,Good
423,W,6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,Bad
424,R,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,Bad
425,R,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,Bad
426,W,6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,Good
427,W,6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,Good
428,W,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,Good
429,R,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,Bad
430,W,7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,Good
431,R,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,Bad
432,W,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,Bad
433,W,6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,Good
434,W,6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,Good
435,W,6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,Bad
436,W,5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,Bad
437,R,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,Bad
438,W,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,Good
439,W,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,Bad
440,W,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,Good
441,W,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,Good
442,W,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,Bad
443,R,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,Bad
444,W,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,Good
445,R,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,Bad
446,W,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,Bad
447,W,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,Bad
448,W,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,Good
449,R,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,Bad
450,R,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,Bad
451,W,7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,Bad
452,R,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,Bad
453,W,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,Bad
454,R,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,Good
455,W,9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,Bad
456,R,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,Good
457,W,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,Bad
458,W,6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,Bad
459,W,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,Bad
460,R,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,Good
461,W,6.8,0.44,0.2,16,0.065,61,186,0.99884,3.13,0.45,8.6,Bad
462,R,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,Bad
463,W,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,Bad
464,W,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,Bad
465,W,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,Good
466,R,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,Bad
467,W,9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,Bad
468,R,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,Bad
469,W,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,Bad
470,W,7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,Good
471,R,7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,Bad
472,W,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,Bad
473,W,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,Good
474,W,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,Good
475,W,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,Bad
476,W,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,Good
477,W,6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,Good
478,R,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,Good
479,R,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,Good
480,W,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,Bad
481,R,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,Bad
482,W,7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,Good
483,W,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,Good
484,R,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,Bad
485,W,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,Good
486,R,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,Good
487,W,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,Good
488,W,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,Bad
489,W,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,Good
490,W,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,Good
491,W,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,Bad
492,R,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,Good
493,W,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,Bad
494,R,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,Good
495,W,7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,Bad
496,W,6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,Good
497,W,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,Good
498,W,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,Bad
499,W,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,Good
500,W,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,Good
501,W,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,Good
502,W,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,Good
503,W,7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8,Good
504,W,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,Bad
505,R,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,Good
506,W,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,Good
507,W,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,Good
508,R,6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,Good
509,W,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,Good
510,W,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,Bad
511,W,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,Bad
512,W,6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,Good
513,W,5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,Bad
514,W,7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,Good
515,W,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,Bad
516,W,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,Bad
517,W,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,Bad
518,W,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,Bad
519,W,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,Good
520,W,8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,Good
521,R,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,Good
522,W,7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,Bad
523,W,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,Good
524,R,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,Bad
525,R,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,Bad
526,W,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,Good
527,W,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,Good
528,W,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,Bad
529,W,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,Bad
530,R,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,Good
531,W,6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,Good
532,R,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,Good
533,W,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,Bad
534,W,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,Good
535,W,6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,Good
536,W,7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,Good
537,W,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,Good
538,W,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,Good
539,W,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,Good
540,W,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,Bad
541,W,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,Bad
542,R,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,Good
543,W,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,Bad
544,W,7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,Good
545,R,7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,Good
546,W,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,Bad
547,W,6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,Bad
548,W,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,Bad
549,W,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,Good
550,W,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,Good
551,R,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,Good
552,W,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,Bad
553,W,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,Bad
554,R,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,Bad
555,R,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,Bad
556,W,6,0.27,0.4,1.7,0.021,18,82,0.9891,3.24,0.95,13.13333333,Good
557,W,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,Good
558,R,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,Bad
559,W,5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,Good
560,R,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,Good
561,W,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,Bad
562,W,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,Good
563,W,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,Bad
564,W,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,Good
565,R,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,Bad
566,W,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,Good
567,W,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,Bad
568,W,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,Bad
569,W,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,Good
570,W,8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,Bad
571,W,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,Bad
572,W,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,Bad
573,R,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,Bad
574,W,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,Good
575,W,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,Good
576,W,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,Bad
577,W,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,Bad
578,W,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,Bad
579,W,6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,Bad
580,R,6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,Bad
581,W,6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,Bad
